basin,train_start,train_end,valid_start,valid_end,test_start,test_end,ref_start,ref_end,ref_span_steps,n_valid_union,n_valid_intersect,test_steps,short_test
01031300,1996-11-14 06:00:00,2018-01-17 06:00:00,2018-03-18 09:00:00,2021-06-24 00:00:00,2021-08-23 03:00:00,2024-11-28 18:00:00,2007-10-01 06:00:00,2024-11-28 18:00:00,50148,71112,32315,9550,False
01031450,1997-07-26 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,69818,34694,9556,False
01031500,1987-11-05 06:00:00,2018-01-17 06:00:00,2018-03-18 09:00:00,2021-06-24 00:00:00,2021-08-23 03:00:00,2024-11-28 18:00:00,2007-10-01 06:00:00,2024-11-28 18:00:00,50148,85138,35016,9550,False
01031510,2008-07-01 06:00:00,2018-05-03 00:00:00,2018-07-02 03:00:00,2021-08-12 15:00:00,2021-10-11 18:00:00,2024-11-22 06:00:00,2008-07-01 06:00:00,2024-11-22 06:00:00,47904,47915,34804,9101,False
01037380,1998-06-10 06:00:00,2018-01-24 00:00:00,2018-03-25 03:00:00,2021-06-29 06:00:00,2021-08-28 09:00:00,2024-12-02 12:00:00,2007-10-12 06:00:00,2024-12-02 12:00:00,50090,71252,36977,9538,False
01044550,1999-08-05 06:00:00,2018-01-18 09:00:00,2018-03-19 12:00:00,2021-06-25 09:00:00,2021-08-24 12:00:00,2024-11-30 12:00:00,2007-10-01 06:00:00,2024-11-30 12:00:00,50162,63997,33598,9553,False
01046000,2008-07-01 06:00:00,2018-05-07 18:00:00,2018-07-06 21:00:00,2021-08-18 21:00:00,2021-10-18 00:00:00,2024-11-30 03:00:00,2008-07-01 06:00:00,2024-11-30 03:00:00,47967,47963,35484,9114,False
01047150,2009-04-01 18:00:00,2018-08-27 03:00:00,2018-10-26 06:00:00,2021-10-14 18:00:00,2021-12-13 21:00:00,2024-12-02 12:00:00,2009-04-02 06:00:00,2024-12-02 12:00:00,45786,45789,42949,8678,False
01048220,2008-06-01 06:00:00,2018-04-24 21:00:00,2018-06-24 00:00:00,2021-08-11 18:00:00,2021-10-10 21:00:00,2024-11-28 18:00:00,2008-06-01 06:00:00,2024-11-28 18:00:00,48196,48031,33732,9160,False
01052500,1990-10-01 06:00:00,2018-01-17 21:00:00,2018-03-19 00:00:00,2021-06-24 18:00:00,2021-08-23 21:00:00,2024-11-29 15:00:00,2007-10-01 06:00:00,2024-11-29 15:00:00,50155,81482,33613,9551,False
01054300,2000-10-27 06:00:00,2018-01-18 12:00:00,2018-03-19 15:00:00,2021-06-25 15:00:00,2021-08-24 18:00:00,2024-11-30 18:00:00,2007-10-01 06:00:00,2024-11-30 18:00:00,50164,64047,36489,9553,False
01055000,1990-10-01 06:00:00,2018-01-18 12:00:00,2018-03-19 15:00:00,2021-06-25 15:00:00,2021-08-24 18:00:00,2024-11-30 18:00:00,2007-10-01 06:00:00,2024-11-30 18:00:00,50164,83946,35123,9553,False
01059000,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,96504,47900,9556,False
01060000,2019-10-01 06:00:00,2022-11-07 18:00:00,2023-01-06 21:00:00,2023-11-20 15:00:00,2024-01-19 18:00:00,2024-12-02 12:00:00,2019-10-01 06:00:00,2024-12-02 12:00:00,15115,15114,13635,2543,True
01064801,1993-04-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,81916,41744,9556,False
01067950,2008-06-12 15:00:00,2018-05-01 21:00:00,2018-07-01 00:00:00,2021-08-17 03:00:00,2021-10-16 06:00:00,2024-12-02 09:00:00,2008-06-13 06:00:00,2024-12-02 09:00:00,48129,47610,36626,9146,False
01068910,2008-04-07 21:00:00,2018-04-05 12:00:00,2018-06-04 15:00:00,2021-08-04 00:00:00,2021-10-03 03:00:00,2024-12-02 12:00:00,2008-04-08 06:00:00,2024-12-02 12:00:00,48658,48661,45579,9252,False
01069500,2008-11-18 21:00:00,2018-07-05 18:00:00,2018-09-03 21:00:00,2021-09-18 15:00:00,2021-11-17 18:00:00,2024-12-02 12:00:00,2008-11-22 06:00:00,2024-12-02 12:00:00,46834,46847,46733,8887,False
01069700,2008-12-05 21:00:00,2018-07-11 09:00:00,2018-09-09 12:00:00,2021-09-21 09:00:00,2021-11-20 12:00:00,2024-12-02 12:00:00,2008-12-06 06:00:00,2024-12-02 12:00:00,46722,46691,38977,8865,False
01072800,1995-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,79836,45781,9556,False
01073000,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,88960,47343,9556,False
01073319,2008-07-03 12:00:00,2018-05-10 09:00:00,2018-07-09 12:00:00,2021-08-21 09:00:00,2021-10-20 12:00:00,2024-12-02 12:00:00,2008-07-04 06:00:00,2024-12-02 12:00:00,47962,47926,44078,9113,False
01073500,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,88242,47552,9556,False
010735562,2008-09-26 18:00:00,2018-06-13 09:00:00,2018-08-12 12:00:00,2021-09-07 09:00:00,2021-11-06 12:00:00,2024-12-02 12:00:00,2008-09-27 06:00:00,2024-12-02 12:00:00,47282,47120,42876,8977,False
01073587,1996-06-28 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,77998,45528,9556,False
01073785,2002-07-09 06:00:00,2019-11-07 12:00:00,2020-01-06 15:00:00,2022-05-21 12:00:00,2022-07-20 15:00:00,2024-12-02 12:00:00,2012-03-30 18:00:00,2024-12-02 12:00:00,37039,56745,35936,6928,False
01074520,1993-03-10 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,81966,38508,9556,False
01075000,2001-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,65144,44712,9556,False
01076000,2001-10-10 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,65693,47142,9556,False
01076500,1990-10-29 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,81029,39530,9556,False
01077400,2008-09-12 21:00:00,2018-06-07 18:00:00,2018-08-06 21:00:00,2021-09-04 15:00:00,2021-11-03 18:00:00,2024-12-02 12:00:00,2008-09-13 06:00:00,2024-12-02 12:00:00,47394,47381,44732,8999,False
01078000,1990-10-11 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,87490,45857,9556,False
01081500,2001-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,66169,48515,9556,False
01082000,2001-10-01 06:00:00,2019-07-25 18:00:00,2019-09-23 21:00:00,2022-03-30 03:00:00,2022-05-29 06:00:00,2024-12-02 12:00:00,2011-07-12 18:00:00,2024-12-02 12:00:00,39134,62114,34468,7347,False
01085000,2015-10-01 06:00:00,2021-04-02 06:00:00,2021-06-01 09:00:00,2023-02-01 09:00:00,2023-04-02 12:00:00,2024-12-02 12:00:00,2015-10-01 06:00:00,2024-12-02 12:00:00,26803,26767,25419,4881,False
01085500,2001-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,66981,46515,9556,False
01086000,2001-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,66643,47787,9556,False
01089100,1990-10-01 06:00:00,2016-09-30 12:00:00,2016-11-29 15:00:00,2019-10-01 06:00:00,2019-11-30 09:00:00,2022-10-01 03:00:00,2007-10-01 06:00:00,2022-10-01 03:00:00,43831,81011,39864,8287,False
01089500,2007-11-15 00:00:00,2018-02-06 12:00:00,2018-04-07 15:00:00,2021-07-06 00:00:00,2021-09-04 03:00:00,2024-12-02 12:00:00,2007-11-15 06:00:00,2024-12-02 12:00:00,49818,49689,43183,9484,False
01091000,2008-06-12 21:00:00,2018-05-02 00:00:00,2018-07-01 03:00:00,2021-08-17 06:00:00,2021-10-16 09:00:00,2024-12-02 12:00:00,2008-06-13 06:00:00,2024-12-02 12:00:00,48130,48109,42523,9146,False
01091500,2017-10-01 06:00:00,2022-01-19 18:00:00,2022-03-20 21:00:00,2023-06-27 15:00:00,2023-08-26 18:00:00,2024-12-02 12:00:00,2017-10-01 06:00:00,2024-12-02 12:00:00,20955,20954,20825,3711,False
01092000,1992-01-23 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,91514,49416,9556,False
01093852,1994-06-17 06:00:00,2018-04-26 09:00:00,2018-06-25 12:00:00,2021-08-14 09:00:00,2021-10-13 12:00:00,2024-12-02 12:00:00,2008-05-30 06:00:00,2024-12-02 12:00:00,48242,49269,42846,9169,False
01094000,2001-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,66180,47133,9556,False
01096000,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,97933,47901,9556,False
01096500,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,98614,49474,9556,False
010965852,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,86515,46746,9556,False
01097000,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,96377,48684,9556,False
01097300,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,92404,46553,9556,False
01098530,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,97851,49524,9556,False
01099500,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,97382,49231,9556,False
01100000,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,97583,45734,9556,False
01100505,2000-10-06 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,69469,47568,9556,False
01100561,2005-09-08 21:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,55375,46618,9556,False
01101000,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,95160,45985,9556,False
01103280,1997-11-13 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,75753,47138,9556,False
01108000,1996-10-18 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,81617,49551,9556,False
01108410,2006-01-11 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,53187,44441,9556,False
01109000,1988-06-22 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,99849,48830,9556,False
01109060,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,96849,48947,9556,False
01109070,1988-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,99407,46461,9556,False
01109403,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,98276,49642,9556,False
01109730,2002-07-25 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,65083,49864,9556,False
01110000,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,95837,46843,9556,False
01111212,2006-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,52688,47999,9556,False
01111300,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,86756,46069,9556,False
01111500,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,98299,49664,9556,False
01115630,2007-03-18 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,51751,49329,9556,False
01115770,2007-10-01 06:00:00,2010-07-06 18:00:00,2010-09-04 21:00:00,2011-06-08 09:00:00,2011-08-07 12:00:00,2012-05-10 03:00:00,2007-10-01 06:00:00,2012-05-10 03:00:00,13463,13465,13452,2213,True
01117370,1998-10-07 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,75897,49113,9556,False
01117800,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,99249,49383,9556,False
01118300,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,90541,48081,9556,False
01119500,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,85023,44123,9556,False
01121000,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,86016,45155,9556,False
01122500,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,92848,49095,9556,False
01123000,1990-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,88147,46789,9556,False
