basin_id,obs_start,obs_end,obs_duration_days,num_subperiods,obs_valid_hours,fault_count,fault_total_hours,fault_rate_pct,max_fault_hours,mean_fault_hours,median_fault_hours,p90_fault_hours,p95_fault_hours,p99_fault_hours,fault_lengths_hours
01073319,2008-07-03T12:00:00,2024-12-31T23:00:00,6025.5,1,144612,55,258,0.178,40,4.69,1.0,11.2,29.9,40.0,1;1;10;29;1;3;1;1;1;1;1;2;2;1;1;1;2;1;1;40;1;1;15;3;1;1;1;1;1;3;4;1;1;2;1;2;4;40;12;1;1;1;1;1;1;1;9;1;1;1;32;7;2;1;1
01073500,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,32,663,0.438,271,20.72,2.0,66.9,86.55,217.06,271;97;1;2;2;2;30;1;1;1;2;1;3;2;8;1;1;9;27;1;1;78;1;1;21;18;71;1;2;4;1;1
010735562,2008-09-26T16:00:00,2024-12-31T23:00:00,5940.3,1,142568,42,722,0.506,112,17.19,1.0,83.0,100.8,111.59,1;101;56;97;11;1;1;3;1;2;1;1;1;1;1;1;1;3;15;2;41;1;86;112;1;1;1;111;1;2;1;1;1;1;1;1;1;4;42;9;1;1
01073587,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,128,1539,1.018,39,12.02,8.5,23.0,23.0,23.73,23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;9;14;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;3;4;2;1;1;1;1;7;3;1;16;1;1;1;1;2;19;4;1;1;1;1;1;3;1;1;39;1;2;1;2;1;1;1;2;1;1;1;1;21;1;1;1;24;1;3;3;8;4;1;8;2;5;3;1;2;1;5;11;1;6;1;17;14;17;15;1;2;2;1;1;1;1;1
01074520,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,2,131851,83,743,0.564,159,8.95,1.0,24.0,31.9,85.2,1;1;1;32;10;31;7;10;12;33;20;6;7;1;1;1;1;28;57;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;24;1;24;3;17;1;1;1;1;1;10;1;1;1;3;4;2;1;1;1;1;1;2;1;1;1;1;1;1;69;159;1;1;1;1;23;14;19;3;3;3;4;1;1;27;2;1;21;4
01075000,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,130,987,0.653,394,7.59,1.0,2.0,10.05,114.26,1;1;1;2;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;110;4;1;1;1;1;1;1;1;1;2;39;1;1;1;1;1;2;1;1;1;1;2;1;1;3;1;1;1;1;2;2;1;1;2;2;1;1;1;1;1;2;1;1;60;1;394;1;1;1;1;1;2;2;1;15;116;108;1;1;2;1;2;1;1;1;1;2
01076000,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,77,157,0.104,24,2.04,1.0,3.0,7.0,17.16,1;1;1;3;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;7;1;1;1;1;2;1;1;2;1;1;1;7;1;3;1;4;2;1;1;3;1;2;2;1;1;1;4;3;1;1;1;9;15;1;1;24;1;1;1;1;2;1
01076500,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,85,276,0.182,72,3.25,1.0,2.6,4.8,63.6,1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;2;1;4;1;1;2;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;1;1;1;72;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;62;1;3;3;1;1;39;1
01077400,2008-09-12T20:00:00,2024-12-31T23:00:00,5954.2,1,142900,89,156,0.109,17,1.75,1.0,2.2,6.6,11.72,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;8;1;1;5;7;2;2;1;1;1;11;1;6;3;1;2;17;2;1;1;1
01078000,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,90,2952,1.952,1374,32.8,1.0,77.1,122.35,382.54,1;1;1;1;1;1;2;1;1;1;1;2;1;77;1;1;1;3;11;63;1;1;10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;49;25;113;35;38;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;103;130;1;1;1;83;1374;202;1;78;72;1;260;1;1;148
01081000,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,225,1115,0.737,308,4.96,1.0,6.6,17.0,62.92,1;1;1;1;3;1;1;2;1;27;2;13;23;13;1;1;2;27;4;1;1;12;17;1;1;1;1;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;15;5;2;2;13;1;1;21;5;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;50;67;1;16;308;20;17;1;1;2;1;1;2;1;1;6;2;2;1;2;2;5;18;1;1;8;1;24;5;1;3;10;1;1;1;121;1;1;2;1;3;2;1;2;8;7;1;1
01081500,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,107,437,0.289,71,4.08,1.0,9.4,16.1,46.22,1;1;1;1;3;1;1;1;5;1;2;1;1;1;1;1;1;1;1;1;17;2;1;2;2;12;4;3;1;8;3;4;2;1;23;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;34;2;47;1;4;2;1;1;1;2;1;1;1;1;2;1;1;4;14;2;1;1;2;10;1;1;1;8;10;13;6;1;5;3;2;1;1;22;1;71;2;9;1;1;1
01085500,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,126,624,0.413,44,4.95,2.0,11.5,16.5,27.5,4;2;1;3;5;12;5;2;11;5;17;1;4;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;4;1;2;1;1;1;6;8;1;17;6;14;11;9;11;9;7;9;2;4;5;6;1;1;1;1;1;1;1;1;1;1;1;9;1;1;1;23;2;1;1;11;13;3;9;8;4;3;15;4;5;1;26;1;44;1;28;1;1;2;22;5;1;9;8;1;3;1;1;1;5;5;7;8;8;10;1;11;1;13;4;5;1;2;3;13;1;1;1;5;3
01086000,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,161,266,0.176,70,1.65,1.0,1.0,2.0,10.6,3;1;1;1;1;1;1;8;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;70;1;1;3;13;9;3;1;1
01089100,2007-10-01T05:00:00,2022-10-01T05:00:00,5479.0,1,131497,83,698,0.531,131,8.41,1.0,21.4,40.8,105.58,1;1;1;2;10;1;1;18;10;5;2;1;6;18;1;19;47;3;100;1;1;22;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;5;1;1;1;9;1;1;131;97;26;1;1;1;42;1;22;30;1;1;1;2;1;1;1;1;1;1;5;1;4;2;1;1;1;1;1;1
01089500,2007-11-14T22:00:00,2024-12-31T23:00:00,6257.1,1,150170,34,491,0.327,263,14.44,1.0,9.4,81.4,208.22,2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;263;1;1;2;73;2;2;8;10;1;1;1;1;7;97;1;1
01091000,2008-06-12T21:00:00,2024-12-31T23:00:00,6046.1,1,145107,96,270,0.186,38,2.81,1.0,4.5,7.5,22.8,2;2;1;3;3;2;22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;2;1;1;7;3;1;1;1;1;1;1;3;1;1;2;1;3;2;2;4;3;1;1;1;1;2;2;1;2;5;2;7;1;1;1;2;1;4;1;1;2;1;3;1;1;1;7;3;3;2;5;3;1;9;38;19;1;1;1;1;1;1;1;1;2;1;1;22
01092000,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,50,183,0.121,83,3.66,1.0,2.0,7.55,59.97,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;8;1;1;7;1;1;1;1;1;1;1;1;1;1;1;1;36;1;1;1;1;1;1;2;1;1;83;1;1;1;1;2
01093852,2008-05-29T13:00:00,2024-12-31T23:00:00,6060.5,1,145451,28,951,0.654,817,33.96,2.0,9.5,40.95,611.53,3;4;2;1;1;2;1;56;1;4;1;8;6;1;8;1;6;1;1;2;817;3;1;1;1;4;1;13
01094000,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,453,1054,0.697,220,2.33,1.0,1.0,1.0,37.36,1;1;4;6;1;6;2;1;1;1;1;1;1;1;1;1;3;1;1;11;1;2;1;1;1;1;1;1;1;13;1;1;1;1;13;24;2;1;2;1;1;1;5;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;69;1;1;1;1;1;1;26;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;220;1;1;34;1;1;1;1;1;41;1;1;1;1;1;1;1;1;1;1;1;1;1;59;1;77;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1
01096000,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,109,1146,0.758,345,10.51,1.0,24.6,43.8,175.12,32;1;1;1;1;1;1;1;2;1;1;8;1;1;1;3;1;2;1;1;1;1;1;1;1;4;1;1;1;1;1;1;3;2;1;1;4;1;1;2;1;1;2;1;1;2;1;2;1;1;1;1;1;1;1;6;1;1;1;2;1;2;4;1;1;1;1;1;1;1;1;46;1;12;42;1;73;2;3;19;1;23;35;31;1;1;1;2;1;345;184;67;45;1;1;1;1;1;31;7;1;14;2;5;3;2;2;1;1
01096500,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,98,570,0.377,125,5.82,1.0,7.3,15.0,115.3,1;32;1;2;1;11;1;1;1;1;1;1;1;1;1;83;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;15;1;1;1;1;1;10;15;8;12;3;3;2;4;5;6;7;5;1;4;6;7;6;1;4;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;115;2;1;1;1;1;1;125
010965852,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,99,900,0.595,117,9.09,4.0,18.0,20.0,111.12,12;25;6;9;8;17;3;12;10;2;2;1;1;1;4;1;1;1;1;3;1;1;1;1;3;2;1;1;18;17;1;21;14;10;17;18;17;19;20;13;1;1;1;8;17;1;1;11;14;6;6;1;15;17;8;9;7;8;1;1;117;111;20;1;1;1;1;1;1;1;2;1;6;1;5;3;1;8;11;13;15;10;12;16;14;18;8;17;19;1;1;1;1;1;1;1;5;1;2
01097000,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,105,657,0.434,132,6.26,1.0,13.2,23.6,72.88,3;3;2;3;1;22;46;19;8;16;22;1;3;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;42;1;1;7;1;1;1;1;1;1;2;1;2;1;5;1;1;1;2;9;2;8;1;2;6;5;70;2;1;2;1;8;73;1;3;1;20;5;1;132;2;1;1;1;1;1;24;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
01097300,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,353,2945,1.947,671,8.34,1.0,13.0,22.4,87.8,3;6;8;14;6;1;1;1;2;2;1;1;1;2;1;1;1;1;1;2;2;1;1;9;110;6;1;75;16;13;11;13;68;20;7;14;10;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;4;1;1;1;1;1;1;8;15;6;18;2;1;16;9;12;2;2;2;2;15;5;21;22;14;4;4;3;1;2;5;2;1;1;1;1;1;1;1;1;23;1;1;1;56;3;3;3;4;3;12;11;1;1;93;4;671;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;58;1;8;1;1;1;1;1;1;1;1;1;37;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;5;3;1;2;1;1;1;1;1;1;1;6;5;2;9;1;34;1;1;1;3;1;5;23;12;9;7;29;83;392;3;1;82;8;3;39;1;2;2;1;1;2;1;2;1;3;6;2;1;1;5;2;1;1;2;1;2;1;1;2;2;1;1;2;2;4;1;1;8;2;1;3;1;1;1;1;1;1;3;1;2;1;1;13;26;20;5;6;12;14;7;3;3;5;1;1;1;46;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;1;1;1;1;1;1;1;13;11;13;12;11;9;11;10;20;5;1;1;1;1;1;2
01098530,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,66,1864,1.232,552,28.24,1.0,60.0,132.0,390.8,2;1;48;5;24;72;1;1;1;1;2;1;2;48;48;6;1;216;552;1;1;1;1;1;1;1;1;1;1;96;1;1;1;2;48;96;5;1;2;18;2;1;144;1;1;34;2;304;1;1;4;21;4;1;1;15;4;2;1;1;1;1;1;1;1;1
01099500,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,42,655,0.433,312,15.6,1.0,6.0,85.2,231.23,1;1;1;2;1;1;1;1;6;2;5;2;1;1;4;1;2;312;70;2;2;115;1;1;86;1;3;1;6;3;1;2;1;4;1;2;1;1;1;3;1;1
01100000,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,2,142483,845,1053,0.739,74,1.25,1.0,1.0,1.0,5.12,2;1;1;2;1;2;1;1;23;1;1;1;22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;74;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;6;1;1;6;1;1;1;2;2;2;2;3;14;16;1;1;14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
